lp_id,payload_name,payload_class,conjugation_class,linker_class,linker_name,raw_site_label,site_resolved,qc_status,payload_anchor_atom,stub_anchor_atom,spacer_atoms,n_stub_atoms,n_payload_atoms,true_linker_size,pattern_stub,anchors_ambiguous,in_cys_trainset,in_multisite_trainset,linker_smiles,payload_smiles,canonical_lp_smiles,stereo_defined,source_type
mmaf__mc-val-cit-pab,MMAF,auristatin,cysteine,ValCitPAB,MC-Val-Cit-PAB,cysteine,cysteine,passed,52,47,35,9,52,35,succinimide_thioether_4c,False,True,True,CC(C)[C@H](NC(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc2ccc(COC(=O)O)cc2,CC(C)[C@H](NC)C(N[C@H](C(N([C@@H]([C@@H](C)CC)[C@H](OC)CC(N1CCC[C@@]1([H])[C@H](OC)[C@@H](C)C(N[C@H](C(O)=O)CC2=CC=CC=C2)=O)=O)C)=O)C(C)C)=O,CC(C)[C@H](NC(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)O)cc1.CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,no,ADCpedia
seco-duba__mc-gly-gly-phe-gly,Seco-DUBA,duocarmycin,cysteine,GGFG,MC-Gly-Gly-Phe-Gly,cysteine,cysteine,passed,30,24,43,9,30,43,succinimide_thioether_4c,True,True,True,O=C(O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)CCCCCN2C(=O)CC(S)C2=O,CC[C@@]1(O)C(=O)OCc5c1cc4c3nc2cc(F)c(N)cc2c(COCN)c3Cn4c5=O,O=C(O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)CCCCCN1C(=O)CC(S)C1=O.CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(N)cc1c2COCN,no,ADCpedia
sn-38__cl2a,SN-38,camptothecin,cysteine,other,CL2A,cysteine,cysteine,passed,29,17,69,9,29,69,succinimide_thioether_4c,True,True,True,NCCCC[C@H](NC(=O)COCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCn2cc(CNC(=O)CCCC#Cc1cnc(S)nc1)nn2)C(=O)Nc3ccc(COC(=O)O)cc3,CC[C@@]1(O)C(=O)OCc5c1cc4c3nc2ccccc2c(CCN(C(C)C)S(C)(=O)=O)c3Cn4c5=O,NCCCC[C@H](NC(=O)COCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCn1cc(CNC(=O)CCCC#Cc2cnc(S)nc2)nn1)C(=O)Nc1ccc(COC(=O)O)cc1.CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CCN(C(C)C)S(C)(=O)=O,yes,ADCpedia
mmad__val-cit-pab-oh,MMAD,auristatin,cysteine,ValCitPAB,Val-cit-PAB-OH,cysteine,cysteine,passed,,,,,,,,,False,False,C[C@@H](C)C(NC(=O)CSCCC(=O)N1CN(C(=O)CCS)CN(C(=O)CCS)C1)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc2ccc(COC(=O)O)cc2,CC[C@H](C)[C@@H](C(CC(=O)N1CCC[C@H]1C(OC)[C@@H](C)C(=O)N[C@@H](Cc2ccccc2)c3nccs3)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)[NH+](C)C)C(C)C,CC(C)C(NC(=O)CSCCC(=O)N1CN(C(=O)CCS)CN(C(=O)CCS)C1)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)O)cc1.CC[C@H](C)[C@@H](C(CC(=O)N1CCC[C@H]1C(OC)[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)[NH+](C)C)C(C)C,no,ADCpedia
mmae__val-cit-pab-oh,MMAE,auristatin,glutamine,ValCitPAB,Val-cit-PAB-OH,Glutamine,glutamine,flagged,78,0,10,31,51,10,amide,False,False,True,CC(C)[C@H](NC(=O)COCCOCCOCCN)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)O)cc1,CC[C@H](C)[C@@H](C(CC(=O)N1CCC[C@H]1C(OC)[C@@H](C)C(=O)NC(C)[C@H](O)c2ccccc2)OC)N(C)C(=O)[C@@H](NC(=O)C(NC)C(C)C)C(C)C,CC(C)[C@H](NC(=O)COCCOCCOCCN)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)O)cc1.CC[C@H](C)[C@@H](C(CC(=O)N1CCC[C@H]1C(OC)[C@@H](C)C(=O)NC(C)[C@H](O)c1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)C(NC)C(C)C)C(C)C,no,ADCpedia
pnu-159682-derivative__mc-val-cit-pab,PNU-159682 derivative,PBD_anthracycline,cysteine,ValCitPAB,MC-Val-Cit-PAB,cysteine,cysteine,passed,52,48,35,9,52,35,succinimide_thioether_4c,False,True,True,CSC2CC(=O)N(CCCCCC(=O)N[C@H](C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)O)cc1)C(C)C)C2=O,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1C(OC)[C@@H](C)C(=O)NC(Cc2ccccc2)c3nccs3)OC)N(C)C(=O)[C@@H](NC(=O)C(C)(C)N)C(C)C,CSC1CC(=O)N(CCCCCC(=O)N[C@H](C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc2ccc(COC(=O)O)cc2)C(C)C)C1=O.CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1C(OC)[C@@H](C)C(=O)NC(Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)C(C)(C)N)C(C)C,no,ADCpedia
dm1__mcc,DM1,maytansinoid,lysine,non-cleavable_MCC,MCC,lysine,lysine,flagged,61,26,4,13,50,4,amide,False,False,True,NC(=O)C2CCC(CN1C(=O)CCC1=O)CC2,[H][C@@]14C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C/C=C(C)/Cc2cc(OC)c(Cl)c(c2)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCS)[C@]3(C)O[C@H]3[C@@H]4C,NC(=O)C1CCC(CN2C(=O)CCC2=O)CC1.COc1cc2cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCS)[C@]1(C)O[C@H]1[C@H](C)[C@@H]1C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C/C=C(\C)C2,no,ADCpedia
tubulysin-derivative__val-cit,Tubulysin derivative,tubulysin,cysteine,ValCit,Val-Cit,cysteine,cysteine,passed,54,47,16,9,54,16,succinimide_thioether_4c,False,True,True,NCCCC[C@H](NC(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)O,[H][C@](C)(CC)C(NC(=O)[C@H]1C[C@H](C)CCN1C)C(=O)N(CC)[C@H](C[C@@H](OC(C)=O)c3nc(C(=O)N[C@@H](CCc2ccc(N)cc2)C[C@H](C)C(=O)O)cs3)C(C)C,NCCCC[C@H](NC(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)O.CC[C@H](C)C(NC(=O)[C@H]1C[C@H](C)CCN1C)C(=O)N(CC)[C@H](C[C@@H](OC(C)=O)c1nc(C(=O)N[C@@H](CCc2ccc(N)cc2)C[C@H](C)C(=O)O)cs1)C(C)C,no,ADCpedia
dm1__mcc__02,DM1,maytansinoid,lysine,non-cleavable_MCC,MCC,lysine,lysine,flagged,61,26,4,13,50,4,amide,False,False,True,NC(=O)C2CCC(CN1C(=O)CCC1=O)CC2,COc1cc4cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCS)[C@]2(C)O[C@H]2[C@H](C)[C@@H]3C[C@@](O)(NC(=O)O3)[C@H](OC)/C=C\C=C(C)/C4,NC(=O)C1CCC(CN2C(=O)CCC2=O)CC1.COc1cc2cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCS)[C@]1(C)O[C@H]1[C@H](C)[C@@H]1C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C\C=C(\C)C2,no,ADCpedia
mmaf__propargyl-peg2-amine,MMAF,auristatin,click,click-handle,Propargyl-PEG2-amine,cysteine,click_chemistry,passed,,,,,,,,,False,False,O=C(O)CCCCCN1C(=O)CC(S)C1=O,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc2ccccc2)C(=O)O)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,O=C(O)CCCCCN1C(=O)CC(S)C1=O.CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,no,ADCpedia
dxd-derivative__mc-gly-gly-phe-gly,Dxd derivative,camptothecin,cysteine,GGFG,MC-Gly-Gly-Phe-Gly,cysteine,cysteine,passed,32,19,35,9,32,35,succinimide_thioether_4c,True,True,True,O=C(O)OCCOCNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)CCOCCOCCOCCN2C(=O)CC(S)C2=O,CC[C@@]1(O)C(=O)OCc5c1cc4c3nc2cc(F)c(C)cc2c(CN)c3Cn4c5=O,O=C(CCOCCOCCOCCN1C(=O)CC(S)C1=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCOCCOC(=O)O.CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(C)cc1c2CN,no,ADCpedia
sn-38__cl2a__02,SN-38,camptothecin,cysteine,other,CL2A,Lysine,cysteine,passed,29,17,69,9,29,69,succinimide_thioether_4c,True,True,True,CC(=O)NCCCC[C@H](NC(=O)COCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCn3cc(CNC(=O)C2CCC(CN1C(=O)CC(SCC(NC(C)=O)C(=O)O)C1=O)CC2)nn3)C(=O)Nc4ccc(COC(=O)O)cc4,CCc4c3Cn2c(cc1c(COC(=O)[C@]1(N)CC)c2=O)c3nc5ccc(O)cc45,CC(=O)NCCCC[C@H](NC(=O)COCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCn1cc(CNC(=O)C2CCC(CN3C(=O)CC(SCC(NC(C)=O)C(=O)O)C3=O)CC2)nn1)C(=O)Nc1ccc(COC(=O)O)cc1.CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(N)CC,no,ADCpedia
seco-duba__mal-peg2-val-cit-paba,Seco-DUBA,duocarmycin,cysteine,ValCitPAB,Mal-PEG2-Val-Cit-PABA,cysteine,cysteine,flagged,40,8,47,9,40,47,succinimide_thioether_4c,False,True,True,CC(C)[C@H](NC(=O)OCCOCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc2ccc(COC(=O)N(C)CCNCCOCCO)cc2,Cc1cccc2c(OC(=O)O)cc3c(c12)[C@H](CCl)CN3C(=O)/C/6=C/[NH+]\5/C=C(NC(=O)c4ccc(O)cc4)\C=C/C5=N6,CC(C)[C@H](NC(=O)OCCOCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)N(C)CCNCCOCCO)cc1.Cc1cccc2c(OC(=O)O)cc3c(c12)[C@H](CCl)CN3C(=O)C1=C[NH+]2C=C(NC(=O)c3ccc(O)cc3)C=CC2=N1,no,ADCpedia
dm1__amino-peg10-oh,DM1,maytansinoid,lysine,PEG,Amino-PEG10-OH,lysine,lysine,flagged,50,26,5,3,50,5,amide,False,False,True,CC(S)CCC(N)=O,COc1cc4cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCS)[C@]2(C)O[C@H]2[C@H](C)[C@@H]3C[C@@](O)(NC(=O)O3)[C@H](OC)/C=C\C=C(C)/C4,CC(S)CCC(N)=O.COc1cc2cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCS)[C@]1(C)O[C@H]1[C@H](C)[C@@H]1C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C\C=C(\C)C2,no,ADCpedia
eribulin__boc-nh-peg3-c2-triazole-dbco-peg4-vc-pab-dmea,Eribulin,eribulin,click,ValCitPAB,Boc-NH-PEG3-C2-triazole-DBCO-PEG4-VC-PAB-DMEA,cysteine,click_chemistry,passed,,,,,,,,,False,False,CN(c1ccc(COC(=O)O)cc1)S(=O)(=O)c4ccc(C#[N+]CNC(=O)CCOCCOCCOCCn3cc(CCOCCOCCOCCOCCN2C(=O)CC(S)C2=O)nn3)cn4,C[C@@H]1C[C@@H]2CC[C@H]3C(=C)C[C@@H](O3)CC[C@]45C[C@@H]6[C@H](O4)[C@H]7[C@@H](O6)[C@@H](O5)[C@@H]8[C@@H](O7)CC[C@@H](O8)CC(=O)C[C@H]9[C@H](C[C@H](C1=C)O2)O[C@@H]([C@@H]9OC)C[C@@H](CN)O,CN(c1ccc(COC(=O)O)cc1)S(=O)(=O)c1ccc(C#[N+]CNC(=O)CCOCCOCCOCCn2cc(CCOCCOCCOCCOCCN3C(=O)CC(S)C3=O)nn2)cn1.C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C,no,ADCpedia
sn-38__cl2a__03,SN-38,camptothecin,cysteine,other,CL2A,Cysteine?,cysteine,passed,29,17,69,9,29,69,succinimide_thioether_4c,True,True,True,NCCCCC(NC(=O)COCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCn3cc(CNC(=O)C2CCC(CN1C(=O)CC(S)C1=O)CC2)nn3)C(=O)Nc4ccc(COC(=O)O)cc4,CCc4c3Cn2c(cc1c(CCC(=O)C1(O)CC)c2=O)c3nc5ccc(O)cc45,NCCCCC(NC(=O)COCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCn1cc(CNC(=O)C2CCC(CN3C(=O)CC(S)C3=O)CC2)nn1)C(=O)Nc1ccc(COC(=O)O)cc1.CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)CCC(=O)C3(O)CC,no,ADCpedia
calicheamicin__mal-amido-peg8-val-gly-pab-oh__02,Calicheamicin,calicheamicin,cysteine,PEG,Mal-amido-PEG8-val-gly-PAB-OH,cysteine,cysteine,flagged,44,43,55,9,44,55,succinimide_thioether_4c,False,True,True,CC(C)[C@H](NC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](C)C(=O)Nc2ccc(CO)cc2,COc3cc2C(=O)N1/C=C(C)\C[C@H]1/C=N\c2cc3OCCCCCOc4cc6c(cc4OC)C(=O)N5/C=C(C)\C[C@H]5C[NH+]6C(=O)O,CC(C)[C@H](NC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](C)C(=O)Nc1ccc(CO)cc1.COc1cc2c(cc1OCCCCCOc1cc3c(cc1OC)C(=O)N1C=C(C)C[C@H]1C[NH+]3C(=O)O)N=C[C@@H]1CC(C)=CN1C2=O,no,ADCpedia
pnu-159682-derivative__mc-val-cit-pab__02,PNU-159682 derivative,PBD_anthracycline,cysteine,ValCitPAB,MC-Val-Cit-PAB,cysteine,cysteine,passed,52,48,35,9,52,35,succinimide_thioether_4c,False,True,True,CC(C)[C@H](NC(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc2ccc(COC(=O)O)cc2,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1C(OC)[C@@H](C)C(=O)NC(Cc2ccccc2)c3nccs3)OC)N(C)C(=O)[C@@H](NC(=O)C(C)(C)N)C(C)C,CC(C)[C@H](NC(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)O)cc1.CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1C(OC)[C@@H](C)C(=O)NC(Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)C(C)(C)N)C(C)C,no,ADCpedia
